Survey_ID,Survey_Date,Age,Gender,Region,Job_Role,Work_Arrangement,Salary_Range
SURV1584,2025-06-14,33,Female,Europe,Customer Service Manager,Hybrid,$100K-120K
SURV1592,2025-06-14,34,Male,Africa,Executive Assistant,Onsite,$100K-120K
SURV1595,2025-06-14,51,Male,Asia,Sales Representative,Hybrid,$60K-80K
SURV1600,2025-06-14,42,Male,North America,Technical Writer,Remote,$60K-80K
SURV1604,2025-06-14,45,Male,Europe,Customer Service Manager,Onsite,$80K-100K
SURV1618,2025-06-14,27,Male,Europe,Research Scientist,Hybrid,$80K-100K
SURV1624,2025-06-14,59,Female,South America,Customer Service Manager,Onsite,$60K-80K
SURV1627,2025-06-14,56,Male,Oceania,UX Designer,Hybrid,$80K-100K
SURV1628,2025-06-14,47,Male,Oceania,Research Scientist,Onsite,$60K-80K
SURV1630,2025-06-14,60,Male,Asia,Business Analyst,Hybrid,$100K-120K
SURV1631,2025-06-14,46,Male,Oceania,IT Support,Hybrid,$100K-120K
SURV1647,2025-06-14,36,Male,Africa,Project Manager,Onsite,$60K-80K
SURV1656,2025-06-14,60,Female,Asia,Sales Representative,Remote,$40K-60K
SURV1661,2025-06-14,63,Female,North America,Research Scientist,Hybrid,$60K-80K
SURV1667,2025-06-14,35,Male,North America,Business Analyst,Remote,$40K-60K
SURV1675,2025-06-14,59,Female,North America,Product Manager,Hybrid,$60K-80K
SURV1676,2025-06-14,25,Male,Asia,Customer Service Manager,Hybrid,$40K-60K
SURV1677,2025-06-14,28,Male,Oceania,Consultant,Remote,$40K-60K
SURV1679,2025-06-15,43,Female,Oceania,Software Engineer,Onsite,$100K-120K
SURV1681,2025-06-15,58,Male,Europe,Product Manager,Remote,$60K-80K
SURV1682,2025-06-15,35,Male,Oceania,Digital Marketing Specialist,Remote,$100K-120K
SURV1697,2025-06-15,49,Prefer not to say,Oceania,Operations Manager,Hybrid,$60K-80K
SURV1711,2025-06-15,65,Female,Europe,Digital Marketing Specialist,Hybrid,$60K-80K
SURV1718,2025-06-15,46,Male,South America,Customer Service Manager,Hybrid,$40K-60K
SURV1734,2025-06-15,45,Female,Africa,Project Manager,Remote,$120K+
SURV1737,2025-06-15,51,Male,Oceania,Business Analyst,Remote,$60K-80K
SURV1741,2025-06-15,33,Male,Asia,UX Designer,Onsite,$80K-100K
SURV1745,2025-06-15,63,Male,Asia,Marketing Specialist,Onsite,$80K-100K
SURV1747,2025-06-15,60,Male,Oceania,Software Engineer,Hybrid,$100K-120K
SURV1752,2025-06-15,39,Female,Europe,IT Support,Onsite,$60K-80K
SURV1754,2025-06-15,48,Female,Asia,UX Designer,Remote,$80K-100K
SURV1765,2025-06-15,59,Female,North America,Marketing Specialist,Hybrid,$60K-80K
SURV1766,2025-06-15,47,Male,North America,Sales Representative,Onsite,$40K-60K
SURV1767,2025-06-15,27,Male,Asia,Technical Writer,Onsite,$80K-100K
SURV1775,2025-06-15,46,Male,South America,Operations Manager,Hybrid,$40K-60K
SURV1779,2025-06-15,45,Male,South America,Customer Service Manager,Hybrid,$60K-80K
SURV1783,2025-06-15,56,Female,Africa,DevOps Engineer,Onsite,$60K-80K
SURV1785,2025-06-15,60,Male,South America,Consultant,Hybrid,$60K-80K
SURV1788,2025-06-15,44,Male,South America,Executive Assistant,Onsite,$60K-80K
SURV1789,2025-06-15,34,Male,South America,Sales Representative,Remote,$40K-60K
SURV1790,2025-06-15,36,Female,South America,Research Scientist,Onsite,$120K+
SURV1795,2025-06-15,54,Male,Asia,Project Manager,Remote,$40K-60K
SURV1797,2025-06-15,24,Male,South America,DevOps Engineer,Hybrid,$80K-100K
SURV1798,2025-06-15,31,Male,Asia,Project Manager,Hybrid,$80K-100K
SURV1803,2025-06-15,63,Male,Europe,Research Scientist,Hybrid,$80K-100K
SURV1805,2025-06-15,45,Male,Asia,DevOps Engineer,Remote,$80K-100K
SURV1812,2025-06-16,22,Female,North America,Quality Assurance,Remote,$80K-100K
SURV1813,2025-06-16,34,Male,South America,Software Engineer,Remote,$80K-100K
SURV1814,2025-06-16,50,Female,Oceania,Software Engineer,Onsite,$100K-120K
SURV1819,2025-06-16,30,Male,Africa,Product Manager,Hybrid,$80K-100K
SURV1820,2025-06-16,38,Female,Oceania,HR Manager,Hybrid,$80K-100K
SURV1822,2025-06-16,60,Female,Asia,Operations Manager,Onsite,$80K-100K
SURV1823,2025-06-16,58,Female,Europe,UX Designer,Remote,$80K-100K
SURV1830,2025-06-16,36,Male,South America,Quality Assurance,Hybrid,$60K-80K
SURV1832,2025-06-16,45,Female,South America,Quality Assurance,Hybrid,$60K-80K
SURV1837,2025-06-16,22,Female,Africa,DevOps Engineer,Onsite,$60K-80K
SURV1838,2025-06-16,49,Female,Africa,Data Scientist,Remote,$100K-120K
SURV1843,2025-06-16,27,Female,Africa,Business Analyst,Hybrid,$100K-120K
SURV1850,2025-06-16,51,Female,Africa,Software Engineer,Remote,$80K-100K
SURV1852,2025-06-16,28,Male,Africa,Data Analyst,Hybrid,$40K-60K
SURV1869,2025-06-16,31,Female,North America,Product Manager,Hybrid,$60K-80K
SURV1870,2025-06-16,42,Female,South America,Project Manager,Remote,$60K-80K
SURV1874,2025-06-16,29,Male,Oceania,Software Engineer,Hybrid,$80K-100K
SURV1876,2025-06-16,62,Female,South America,Digital Marketing Specialist,Hybrid,$40K-60K
SURV1886,2025-06-16,28,Male,South America,Technical Writer,Hybrid,$100K-120K
SURV1892,2025-06-16,42,Female,North America,Research Scientist,Onsite,$60K-80K
SURV1893,2025-06-16,26,Male,South America,Executive Assistant,Hybrid,$60K-80K
SURV1902,2025-06-16,24,Female,Oceania,Digital Marketing Specialist,Onsite,$60K-80K
SURV1903,2025-06-16,32,Male,Europe,Marketing Specialist,Hybrid,$80K-100K
SURV1910,2025-06-16,49,Male,Asia,Digital Marketing Specialist,Onsite,$60K-80K
SURV1918,2025-06-16,34,Female,Africa,Data Scientist,Onsite,$120K+
SURV1927,2025-06-16,60,Non-binary,Africa,IT Support,Hybrid,$100K-120K
SURV1928,2025-06-16,41,Male,Oceania,Quality Assurance,Remote,$120K+
SURV1930,2025-06-16,62,Female,Europe,Technical Writer,Hybrid,$100K-120K
SURV1933,2025-06-16,31,Female,Africa,Account Manager,Hybrid,$80K-100K
SURV1936,2025-06-16,49,Female,Africa,Research Scientist,Remote,$60K-80K
SURV1946,2025-06-17,45,Male,Europe,Consultant,Remote,$80K-100K
SURV1947,2025-06-17,61,Female,South America,Marketing Specialist,Onsite,$100K-120K
SURV1951,2025-06-17,42,Male,South America,Project Manager,Hybrid,$40K-60K
SURV1956,2025-06-17,34,Male,North America,Customer Service Manager,Onsite,$60K-80K
SURV1967,2025-06-17,51,Male,Europe,UX Designer,Hybrid,$60K-80K
SURV1969,2025-06-17,50,Female,South America,Financial Analyst,Hybrid,$60K-80K
SURV1970,2025-06-17,37,Female,Asia,Software Engineer,Remote,$80K-100K
SURV1985,2025-06-17,36,Non-binary,South America,Digital Marketing Specialist,Hybrid,$40K-60K
SURV1986,2025-06-17,37,Male,Asia,Sales Representative,Hybrid,$60K-80K
SURV1989,2025-06-17,51,Female,Asia,IT Support,Onsite,$80K-100K
SURV1998,2025-06-17,49,Male,Europe,Operations Manager,Onsite,$120K+
SURV1999,2025-06-17,27,Non-binary,South America,Marketing Specialist,Onsite,$120K+
SURV2014,2025-06-17,27,Female,Africa,Operations Manager,Onsite,$60K-80K
SURV2015,2025-06-17,41,Female,Oceania,Project Manager,Hybrid,$60K-80K
SURV2025,2025-06-17,51,Male,Europe,Marketing Specialist,Onsite,$80K-100K
SURV2042,2025-06-17,64,Male,Africa,DevOps Engineer,Remote,$100K-120K
SURV2052,2025-06-17,53,Female,Europe,DevOps Engineer,Hybrid,$120K+
SURV2053,2025-06-17,56,Female,Oceania,Research Scientist,Remote,$40K-60K
SURV2062,2025-06-17,47,Female,North America,Software Engineer,Onsite,$80K-100K
SURV2066,2025-06-18,63,Male,South America,Executive Assistant,Hybrid,$80K-100K
SURV2068,2025-06-18,43,Male,Asia,Operations Manager,Hybrid,$80K-100K
SURV2069,2025-06-18,39,Female,South America,Software Engineer,Hybrid,$120K+
SURV2071,2025-06-18,33,Female,South America,Technical Writer,Onsite,$120K+
SURV2072,2025-06-18,38,Female,South America,Consultant,Hybrid,$60K-80K
SURV2075,2025-06-18,59,Female,Asia,Executive Assistant,Remote,$40K-60K
SURV2080,2025-06-18,53,Female,North America,Data Scientist,Onsite,$80K-100K
SURV2083,2025-06-18,62,Male,North America,Digital Marketing Specialist,Onsite,$40K-60K
SURV2092,2025-06-18,22,Female,Asia,Technical Writer,Hybrid,$40K-60K
SURV2097,2025-06-18,65,Male,Oceania,Project Manager,Hybrid,$60K-80K
SURV2103,2025-06-18,50,Male,Oceania,Executive Assistant,Hybrid,$60K-80K
SURV2113,2025-06-18,25,Male,Oceania,Research Scientist,Remote,$60K-80K
SURV2133,2025-06-18,35,Female,North America,Operations Manager,Remote,$40K-60K
SURV2143,2025-06-18,28,Female,Europe,Research Scientist,Hybrid,$60K-80K
SURV2147,2025-06-18,39,Female,North America,Product Manager,Hybrid,$60K-80K
SURV2152,2025-06-18,61,Male,South America,Project Manager,Hybrid,$60K-80K
SURV2153,2025-06-18,56,Female,South America,Social Media Manager,Onsite,$60K-80K
SURV2154,2025-06-18,32,Male,Oceania,Social Media Manager,Onsite,$80K-100K
SURV2156,2025-06-18,27,Male,Europe,HR Manager,Onsite,$60K-80K
SURV2157,2025-06-18,51,Female,Europe,HR Manager,Hybrid,$80K-100K
SURV2159,2025-06-18,29,Female,North America,Data Analyst,Onsite,$40K-60K
SURV2161,2025-06-18,55,Female,Africa,Account Manager,Hybrid,$60K-80K
SURV2163,2025-06-18,40,Male,Oceania,Data Analyst,Hybrid,$80K-100K
SURV2174,2025-06-18,56,Female,Europe,Product Manager,Hybrid,$40K-60K
SURV2175,2025-06-18,43,Male,Africa,Data Analyst,Remote,$60K-80K
SURV2195,2025-06-19,53,Male,Europe,Digital Marketing Specialist,Onsite,$40K-60K
SURV2208,2025-06-19,60,Male,Africa,Digital Marketing Specialist,Onsite,$80K-100K
SURV2210,2025-06-19,51,Female,Africa,Social Media Manager,Remote,$120K+
SURV2211,2025-06-19,23,Female,Oceania,Social Media Manager,Remote,$60K-80K
SURV2217,2025-06-19,29,Male,South America,Research Scientist,Hybrid,$100K-120K
SURV2220,2025-06-19,35,Male,Asia,Social Media Manager,Remote,$60K-80K
SURV2225,2025-06-19,36,Female,North America,IT Support,Remote,$40K-60K
SURV2227,2025-06-19,55,Male,,Content Writer,Remote,$80K-100K
SURV2231,2025-06-19,42,Female,Africa,Research Scientist,Hybrid,$60K-80K
SURV2232,2025-06-19,24,Male,Europe,Consultant,Hybrid,$40K-60K
SURV2242,2025-06-19,32,Male,Europe,Content Writer,Onsite,$60K-80K
SURV2246,2025-06-19,53,Male,South America,Data Scientist,Remote,$80K-100K
SURV2257,2025-06-19,55,Male,Africa,IT Support,Remote,$80K-100K
SURV2272,2025-06-19,37,Female,Africa,Data Scientist,Onsite,$60K-80K
SURV2274,2025-06-19,34,Male,Oceania,UX Designer,Remote,$40K-60K
SURV2276,2025-06-19,40,Female,North America,Business Analyst,Onsite,$60K-80K
SURV2288,2025-06-19,63,Female,North America,Marketing Specialist,Onsite,$60K-80K
SURV2300,2025-06-19,25,Male,South America,Executive Assistant,Onsite,$60K-80K
SURV2307,2025-06-19,48,Male,Europe,Software Engineer,Hybrid,$100K-120K
SURV2309,2025-06-19,59,Female,South America,Research Scientist,Hybrid,$60K-80K
SURV2310,2025-06-19,62,Female,Africa,Operations Manager,Remote,$60K-80K
SURV2315,2025-06-20,59,Female,Europe,Business Analyst,Onsite,$80K-100K
SURV2318,2025-06-20,33,Male,Europe,IT Support,Onsite,$100K-120K
SURV2322,2025-06-20,31,Female,Africa,Technical Writer,Onsite,$60K-80K
SURV2323,2025-06-20,29,Female,North America,Financial Analyst,Hybrid,$60K-80K
SURV2324,2025-06-20,27,Male,South America,Executive Assistant,Remote,$80K-100K
SURV2329,2025-06-20,55,Female,South America,Consultant,Hybrid,$120K+
SURV2335,2025-06-20,40,Female,Africa,Sales Representative,Onsite,$60K-80K
SURV2346,2025-06-20,40,Female,Asia,Quality Assurance,Hybrid,$80K-100K
SURV2361,2025-06-20,38,Male,South America,Digital Marketing Specialist,Remote,$60K-80K
SURV2363,2025-06-20,58,Female,South America,Content Writer,Remote,$80K-100K
SURV2364,2025-06-20,37,Female,Africa,Data Scientist,Remote,$100K-120K
SURV2372,2025-06-20,27,Male,North America,IT Support,Hybrid,$60K-80K
SURV2375,2025-06-20,29,Male,Oceania,Project Manager,Hybrid,$60K-80K
SURV2380,2025-06-20,24,Female,Oceania,Data Scientist,Hybrid,$120K+
SURV2386,2025-06-20,27,Male,Oceania,Technical Writer,Onsite,$120K+
SURV2403,2025-06-20,39,Male,North America,Data Analyst,Remote,$80K-100K
SURV2411,2025-06-20,22,Female,South America,Consultant,Hybrid,$60K-80K
SURV2439,2025-06-21,42,Female,North America,Project Manager,Onsite,$60K-80K
SURV2442,2025-06-21,50,Male,North America,Sales Representative,Remote,$80K-100K
SURV2443,2025-06-21,37,Female,North America,UX Designer,Onsite,$60K-80K
SURV2458,2025-06-21,39,Female,Africa,DevOps Engineer,Onsite,$60K-80K
SURV2475,2025-06-21,33,Male,North America,Marketing Specialist,Hybrid,$60K-80K
SURV2482,2025-06-21,64,Female,South America,Marketing Specialist,Hybrid,$60K-80K
SURV2492,2025-06-21,45,Female,South America,HR Manager,Remote,$40K-60K
SURV2493,2025-06-21,30,Female,South America,DevOps Engineer,Hybrid,$100K-120K
SURV2498,2025-06-21,23,Male,North America,HR Manager,Hybrid,$100K-120K
SURV2504,2025-06-21,42,Female,Asia,Research Scientist,Onsite,$100K-120K
SURV2505,2025-06-21,37,Male,Oceania,Content Writer,Remote,$100K-120K
SURV2509,2025-06-21,61,Female,Africa,Research Scientist,Onsite,$80K-100K
SURV2518,2025-06-21,45,Male,Asia,DevOps Engineer,Hybrid,$120K+
SURV2522,2025-06-21,24,Male,Africa,Product Manager,Onsite,$40K-60K
SURV2523,2025-06-21,54,Female,Africa,Data Analyst,Hybrid,$60K-80K
SURV2525,2025-06-21,23,Female,North America,HR Manager,Onsite,$60K-80K
SURV2526,2025-06-21,40,Male,Africa,Technical Writer,Remote,$60K-80K
SURV2540,2025-06-21,38,Male,Oceania,Marketing Specialist,Onsite,$40K-60K
SURV2546,2025-06-21,58,Female,Africa,Sales Representative,Onsite,$60K-80K
SURV2547,2025-06-21,44,Male,Africa,Research Scientist,Remote,$60K-80K
SURV2550,2025-06-21,29,Male,South America,Project Manager,Hybrid,$120K+
SURV2552,2025-06-21,53,Female,Europe,Business Analyst,Remote,$80K-100K
SURV2565,2025-06-22,60,Female,Europe,Marketing Specialist,Remote,$60K-80K
SURV2585,2025-06-22,55,Male,Oceania,Sales Representative,Remote,$40K-60K
SURV2586,2025-06-22,42,Male,South America,Operations Manager,Onsite,$80K-100K
SURV2591,2025-06-22,58,Female,North America,IT Support,Hybrid,$60K-80K
SURV2592,2025-06-22,26,Male,Africa,Software Engineer,Hybrid,$100K-120K
SURV2595,2025-06-22,28,Female,Asia,Content Writer,Hybrid,$120K+
SURV2596,2025-06-22,49,Female,North America,HR Manager,Hybrid,$80K-100K
SURV2597,2025-06-22,52,Male,Oceania,Financial Analyst,Onsite,$60K-80K
SURV2600,2025-06-22,63,Male,North America,Quality Assurance,Hybrid,$40K-60K
SURV2601,2025-06-22,25,Female,Oceania,Customer Service Manager,Remote,$40K-60K
SURV2607,2025-06-22,60,Male,Oceania,Data Analyst,Onsite,$80K-100K
SURV2613,2025-06-22,65,Female,Europe,HR Manager,Remote,$60K-80K
SURV2615,2025-06-22,63,Female,Asia,Software Engineer,Onsite,$100K-120K
SURV2624,2025-06-22,61,Male,Africa,Data Scientist,Hybrid,$80K-100K
SURV2625,2025-06-22,51,Female,South America,Data Analyst,Remote,$60K-80K
SURV2629,2025-06-22,48,Non-binary,North America,Research Scientist,Hybrid,$80K-100K
SURV2631,2025-06-22,60,Female,Europe,Operations Manager,Hybrid,$80K-100K
SURV2636,2025-06-22,37,Prefer not to say,Oceania,Account Manager,Hybrid,$40K-60K
SURV2637,2025-06-22,31,Female,Asia,Social Media Manager,Onsite,$80K-100K
SURV2640,2025-06-22,22,Male,Africa,Marketing Specialist,Hybrid,$60K-80K
SURV2643,2025-06-22,33,Female,Oceania,Sales Representative,Hybrid,$80K-100K
SURV2646,2025-06-22,45,Prefer not to say,Asia,Quality Assurance,Onsite,$80K-100K
SURV2654,2025-06-22,49,Female,Africa,Data Analyst,Onsite,$40K-60K
SURV2666,2025-06-22,33,Non-binary,North America,Data Analyst,Hybrid,$80K-100K
SURV2672,2025-06-22,26,Non-binary,Europe,Product Manager,Hybrid,$100K-120K
SURV2675,2025-06-22,46,Female,Europe,Account Manager,Hybrid,$40K-60K
SURV2676,2025-06-22,59,Female,Africa,Data Analyst,Remote,$100K-120K
SURV2678,2025-06-22,41,Male,Asia,HR Manager,Onsite,$60K-80K
SURV2686,2025-06-22,25,Female,Europe,Digital Marketing Specialist,Remote,$80K-100K
SURV2693,2025-06-23,23,Male,Asia,HR Manager,Hybrid,$60K-80K
SURV2697,2025-06-23,23,Female,Africa,Social Media Manager,Remote,$40K-60K
SURV2700,2025-06-23,64,Male,Africa,IT Support,Onsite,$40K-60K
SURV2704,2025-06-23,29,Female,Europe,Operations Manager,Onsite,$60K-80K
SURV2712,2025-06-23,23,Female,Oceania,Operations Manager,Onsite,$80K-100K
SURV2715,2025-06-23,62,Female,Africa,Operations Manager,Onsite,$80K-100K
SURV2720,2025-06-23,24,Male,Africa,Financial Analyst,Hybrid,$100K-120K
SURV2750,2025-06-23,46,Male,North America,IT Support,Remote,$80K-100K
SURV2751,2025-06-23,33,Male,South America,Project Manager,Onsite,$60K-80K
SURV2756,2025-06-23,50,Female,South America,Data Analyst,Remote,$80K-100K
SURV2757,2025-06-23,35,Female,South America,Product Manager,Remote,$100K-120K
SURV2759,2025-06-23,37,Female,Oceania,DevOps Engineer,Hybrid,$60K-80K
SURV2760,2025-06-23,25,Female,Europe,Marketing Specialist,Hybrid,$60K-80K
SURV2770,2025-06-23,60,Female,South America,Account Manager,Hybrid,$60K-80K
SURV2771,2025-06-23,54,Male,North America,Operations Manager,Remote,$60K-80K
SURV2772,2025-06-23,53,Male,Oceania,Marketing Specialist,Hybrid,$60K-80K
SURV2774,2025-06-23,65,Female,Africa,DevOps Engineer,Onsite,$80K-100K
SURV2775,2025-06-23,40,Female,North America,Consultant,Onsite,$40K-60K
SURV2776,2025-06-23,57,Male,North America,Consultant,Hybrid,$60K-80K
SURV2793,2025-06-23,60,Female,Asia,Social Media Manager,Onsite,$80K-100K
SURV2794,2025-06-23,56,Male,North America,DevOps Engineer,Hybrid,$120K+
SURV2797,2025-06-23,63,Male,Europe,Content Writer,Onsite,$100K-120K
SURV2807,2025-06-23,65,Female,South America,Technical Writer,Remote,$40K-60K
SURV2808,2025-06-23,29,Male,Asia,Product Manager,Remote,$40K-60K
SURV2813,2025-06-23,43,Male,Oceania,Digital Marketing Specialist,Remote,$100K-120K
SURV2816,2025-06-23,62,Male,Africa,Product Manager,Hybrid,$60K-80K
SURV2818,2025-06-23,56,Male,Asia,DevOps Engineer,Remote,$80K-100K
SURV2827,2025-06-24,39,Female,Oceania,UX Designer,Onsite,$100K-120K
SURV2844,2025-06-24,52,Male,Africa,Account Manager,Onsite,$40K-60K
SURV2865,2025-06-24,40,Female,Europe,Quality Assurance,Remote,$80K-100K
SURV2867,2025-06-24,45,Female,South America,IT Support,Remote,$60K-80K
SURV2869,2025-06-24,28,Female,Oceania,Consultant,Onsite,$40K-60K
SURV2870,2025-06-24,37,Male,Europe,DevOps Engineer,Onsite,$60K-80K
SURV2875,2025-06-24,26,Male,Africa,Marketing Specialist,Onsite,$60K-80K
SURV2880,2025-06-24,22,Male,Europe,Operations Manager,Remote,$40K-60K
SURV2887,2025-06-24,27,Female,Oceania,HR Manager,Hybrid,$120K+
SURV2890,2025-06-24,27,Female,Asia,Technical Writer,Remote,$60K-80K
SURV2895,2025-06-24,59,Male,Oceania,Business Analyst,Hybrid,$80K-100K
SURV2899,2025-06-24,36,Non-binary,Europe,Content Writer,Hybrid,$80K-100K
SURV2905,2025-06-24,46,Male,Africa,Financial Analyst,Onsite,$100K-120K
SURV2907,2025-06-24,29,Female,Africa,Data Scientist,Remote,$100K-120K
SURV2910,2025-06-24,57,Male,Europe,Social Media Manager,Hybrid,$60K-80K
SURV2918,2025-06-24,41,Male,Oceania,Sales Representative,Remote,$120K+
SURV2919,2025-06-24,49,Non-binary,Asia,Social Media Manager,Hybrid,$60K-80K
SURV2932,2025-06-24,29,Female,North America,Research Scientist,Hybrid,$60K-80K
SURV2933,2025-06-24,59,Female,Africa,IT Support,Hybrid,$100K-120K
SURV2936,2025-06-25,51,Female,Europe,Social Media Manager,Remote,$40K-60K
SURV2956,2025-06-25,23,Non-binary,South America,Operations Manager,Remote,$40K-60K
SURV2960,2025-06-25,35,Male,North America,DevOps Engineer,Remote,$80K-100K
SURV2965,2025-06-25,47,Female,North America,Digital Marketing Specialist,Remote,$40K-60K
SURV2967,2025-06-25,46,Male,Europe,Research Scientist,Remote,$60K-80K
SURV2969,2025-06-25,36,Male,Africa,Product Manager,Hybrid,$80K-100K
SURV2971,2025-06-25,32,Male,Asia,Business Analyst,Remote,$40K-60K
SURV2972,2025-06-25,52,Male,Asia,Software Engineer,Hybrid,$60K-80K
SURV2981,2025-06-25,24,Female,Asia,Customer Service Manager,Remote,$60K-80K
SURV2987,2025-06-25,43,Female,Africa,UX Designer,Hybrid,$60K-80K
SURV2991,2025-06-25,45,Male,Africa,DevOps Engineer,Remote,$120K+
SURV2999,2025-06-25,65,Female,Europe,Financial Analyst,Remote,$60K-80K
SURV3004,2025-06-25,64,Female,Asia,Operations Manager,Hybrid,$60K-80K
SURV3011,2025-06-25,64,Female,South America,Business Analyst,Hybrid,$80K-100K
SURV3031,2025-06-25,41,Male,South America,Data Analyst,Onsite,$40K-60K
SURV3037,2025-06-25,33,Male,Asia,Financial Analyst,Hybrid,$80K-100K
SURV3042,2025-06-25,39,Female,North America,Sales Representative,Hybrid,$80K-100K
SURV3043,2025-06-25,48,Male,South America,Quality Assurance,Remote,$80K-100K
SURV3049,2025-06-25,57,Male,Oceania,Product Manager,Remote,$80K-100K
SURV3054,2025-06-26,51,Female,North America,Software Engineer,Onsite,$100K-120K
SURV3058,2025-06-26,40,Female,South America,HR Manager,Onsite,$80K-100K
SURV3061,2025-06-26,31,Male,Asia,Operations Manager,Remote,$40K-60K
SURV3062,2025-06-26,59,Male,Europe,Sales Representative,Remote,$60K-80K
SURV3068,2025-06-26,42,Female,Oceania,Consultant,Onsite,$60K-80K
SURV3070,2025-06-26,30,Female,North America,Executive Assistant,Hybrid,$40K-60K
SURV3072,2025-06-26,65,Male,North America,Customer Service Manager,Hybrid,$40K-60K
SURV3078,2025-06-26,37,Male,South America,Financial Analyst,Hybrid,$60K-80K
SURV3082,2025-06-26,23,Female,Asia,Account Manager,Onsite,$60K-80K
SURV3091,2025-06-26,51,Male,Oceania,Project Manager,Remote,$120K+
SURV3100,2025-06-26,48,Female,Oceania,Consultant,Remote,$40K-60K
SURV3111,2025-06-26,46,Male,Asia,Operations Manager,Remote,$120K+
SURV3113,2025-06-26,37,Male,Asia,IT Support,Remote,$40K-60K
SURV3125,2025-06-26,24,Female,Europe,Quality Assurance,Hybrid,$60K-80K
SURV3126,2025-06-26,53,Male,Africa,Technical Writer,Remote,$80K-100K
SURV3133,2025-06-26,43,Female,Asia,Consultant,Remote,$60K-80K
SURV3136,2025-06-26,48,Female,Europe,Quality Assurance,Remote,$60K-80K
SURV3141,2025-06-26,42,Male,Oceania,Data Analyst,Hybrid,$80K-100K
SURV3142,2025-06-26,41,Female,North America,Product Manager,Remote,$100K-120K
SURV3149,2025-06-26,35,Male,Europe,Project Manager,Hybrid,$40K-60K
SURV3150,2025-06-26,64,Male,Africa,Software Engineer,Remote,$60K-80K
SURV3151,2025-06-26,42,Male,North America,Account Manager,Onsite,$80K-100K
